URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
drosera-spatulata-spoon,Drosera spatulata (Spoon-leaved Sundew),A highly adaptable and beautiful rosette-forming sundew. Its spoon-shaped leaves are covered in sticky red tentacles that sparkle in the light.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Beginners, Level: Easy, Region: Asia/Pacific, Status: Verified",TRUE,active,Pot Size,Drosera spatulata,"Asia, Australia, NZ",0-1500m,50%+,10°C - 30°C,Peat/Perlite,BT-DS-001,Vigorous,Full Sun,Seedling (5cm Pot),DROSERA-SPATULATA-SPOON-S,16.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_spatulata_1.jpg?width=1024,1.0
drosera-spatulata-spoon,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-SPATULATA-SPOON-E,23.2,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_spatulata_flower.jpg?width=1024,2.0
drosera-spatulata-spoon,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-SPATULATA-SPOON-L,40.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-lowii-highland,Nepenthes lowii,One of the most remarkable plants in the world. Its woody upper pitchers are shaped like toilets to attract tree shrews and collect their droppings.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Rare Species, Level: Expert, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes lowii,"Mount Kinabalu, Borneo",1600-2600m,80%+,8°C - 20°C,Sphagnum/Orchid Bark,BT-NL-001,Slow,Bright Indirect,Seedling (5cm Pot),NEPENTHES-LOWII-HIGHLAND-S,450.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_lowii_upper.jpg?width=1024,1.0
nepenthes-lowii-highland,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-LOWII-HIGHLAND-E,652.5,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_lowii_1.jpg?width=1024,2.0
nepenthes-lowii-highland,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-LOWII-HIGHLAND-L,1125.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-truncata-giant,Nepenthes truncata (Giant Form),A massive species with heart-shaped (truncate) leaves and enormous pitchers that can reach 50cm in length.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Intermediate, Region: Philippines, Status: Verified",TRUE,active,Pot Size,Nepenthes truncata,"Mindanao, Philippines",0-1500m,70%+,18°C - 30°C,Sphagnum/Perlite/Peat,BT-NT-003,Moderate,Bright Filtered,Seedling (5cm Pot),NEPENTHES-TRUNCATA-GIANT-S,280.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_truncata_pitcher.jpg?width=1024,1.0
nepenthes-truncata-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-TRUNCATA-GIANT-E,406.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_truncata_1.jpg?width=1024,2.0
nepenthes-truncata-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-TRUNCATA-GIANT-L,700.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-rafflesiana-spotted,Nepenthes rafflesiana,A classic lowland species. It is highly variable and produces beautifully elongated upper pitchers and bulbous lower pitchers.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Tropicals, Level: Easy, Region: Borneo, Status: Verified",TRUE,active,Pot Size,Nepenthes rafflesiana,Borneo/Sumatra,0-1200m,85%+,24°C - 35°C,Peat/Sphagnum,BT-NR-044,Fast,Medium-High,Seedling (5cm Pot),NEPENTHES-RAFFLESIANA-SPOTTED-S,75.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_rafflesiana_pitcher.jpg?width=1024,1.0
nepenthes-rafflesiana-spotted,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-RAFFLESIANA-SPOTTED-E,108.75,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_rafflesiana_1.jpg?width=1024,2.0
nepenthes-rafflesiana-spotted,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-RAFFLESIANA-SPOTTED-L,187.5,shopify,10,deny,manual,TRUE,TRUE,500,g,,
pinguicula-gigantea-giant,Pinguicula gigantea,The largest of all Mexican butterworts. Unique because it has sticky digestive glands on both the top and bottom of its leaves.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Pinguicula,"Coll: Beginners, Level: Easy, Region: Mexico, Status: Verified",TRUE,active,Pot Size,Pinguicula gigantea,"Oaxaca, Mexico",500-1500m,50%+,15°C - 30°C,Mineral Mix,BT-PG-001,Moderate,Bright Indirect,Seedling (5cm Pot),PINGUICULA-GIGANTEA-GIANT-S,32.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_gigantea_1.jpg?width=1024,1.0
pinguicula-gigantea-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),PINGUICULA-GIGANTEA-GIANT-E,46.4,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_gigantea_flower.jpg?width=1024,2.0
pinguicula-gigantea-giant,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),PINGUICULA-GIGANTEA-GIANT-L,80.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
heliamphora-pulchella-tepui,Heliamphora pulchella,A small and incredibly hairy Sun Pitcher from the summit of the Akopan Tepui.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Heliamphora,"Coll: Rare Species, Level: Expert, Region: South America, Status: Verified",TRUE,active,Pot Size,Heliamphora pulchella,"Akopan Tepui, Venezuela",1800-2200m,80%+,10°C - 24°C,Sphagnum/Lava Rock,BT-HP-001,Slow,High Intensity,Seedling (5cm Pot),HELIAMPHORA-PULCHELLA-TEPUI-S,195.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Heliamphora_pulchella_1.jpg?width=1024,1.0
