URL handle,Title,Description,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Latin Name (product.metafields.custom.latin_name),Origin (product.metafields.custom.origin_location),Altitude (product.metafields.custom.origin_altitude),Humidity (product.metafields.custom.humidity_min),Temperature (product.metafields.custom.temp_range),Substrate (product.metafields.custom.potting_media),Clone ID (product.metafields.custom.clonotype_code),Growth Rate (product.metafields.custom.growth_speed),Light (product.metafields.custom.lux_requirements),Option1 value,SKU,Price,Inventory tracker,Inventory quantity,Continue selling when out of stock,Fulfillment service,Requires shipping,Charge tax,Weight value (grams),Weight unit for display,Product image URL,Image position
pinguicula-john-rizzi,Pinguicula 'John Rizzi',"A prolific Mexican hybrid known for its large, deep violet flowers and succulent carnivorous leaves that blush pink in high light.",Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Pinguicula,"Coll: Beginners, Level: Easy, Region: Mexico, Status: Verified, Vampire",TRUE,active,Pot Size,Pinguicula 'John Rizzi',Mexico (Hybrid),1000-2500m,50%+,15°C - 30°C,Mineral Mix,BT-PG-JR,Moderate,Bright Indirect,Seedling (5cm Pot),PINGUICULA-JOHN-RIZZI-S,34.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_John_Rizzi_1.jpg?width=1024,1.0
pinguicula-john-rizzi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),PINGUICULA-JOHN-RIZZI-E,49.3,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Pinguicula_flower.jpg?width=1024,2.0
pinguicula-john-rizzi,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),PINGUICULA-JOHN-RIZZI-L,85.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
nepenthes-burbidgeae-x-edwardsiana,Nepenthes burbidgeae x edwardsiana,The ultimate collector's masterpiece. This hybrid combines the stunning marbling of burbidgeae with the legendary fangs of edwardsiana.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Nepenthes,"Coll: Rare Species, Level: Expert, Region: Borneo, Status: Verified, Toothy",TRUE,active,Pot Size,Nepenthes burbidgeae x edwardsiana,"Mount Kinabalu, Borneo",1200-2000m,80%+,12°C - 24°C,Sphagnum/Orchid Bark,BT-NX-BE,Slow,Bright Filtered,Seedling (5cm Pot),NEPENTHES-BURBIDGEAE-X-EDWARDSIANA-S,550.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_hybrid_pitcher.jpg?width=1024,1.0
nepenthes-burbidgeae-x-edwardsiana,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),NEPENTHES-BURBIDGEAE-X-EDWARDSIANA-E,797.5,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Nepenthes_edwardsiana_teeth.jpg?width=1024,2.0
nepenthes-burbidgeae-x-edwardsiana,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),NEPENTHES-BURBIDGEAE-X-EDWARDSIANA-L,1375.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
drosera-meristocaulis,Drosera meristocaulis,An incredible miniature sundew from the Neblina Tepui that looks like a miniature Nepenthes on a stick. Extremely rare in cultivation.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Drosera,"Coll: Rare Species, Level: Expert, Region: South America, Status: Verified",TRUE,active,Pot Size,Drosera meristocaulis,"Cerro de la Neblina, Venezuela",2000m+,90%+,10°C - 22°C,Live Sphagnum,BT-DM-005,Extremely Slow,High Intensity,Seedling (5cm Pot),DROSERA-MERISTOCAULIS-S,120.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_meristocaulis_1.jpg?width=1024,1.0
drosera-meristocaulis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Established (10cm Pot),DROSERA-MERISTOCAULIS-E,174.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Drosera_habitat.jpg?width=1024,2.0
drosera-meristocaulis,,,,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,,,,,,,,,,,,,,,Specimen (Large mature plant),DROSERA-MERISTOCAULIS-L,300.0,shopify,10,deny,manual,TRUE,TRUE,500,g,,
sarracenia-alabamensis,Sarracenia alabamensis (Canebrake Pitcher),An endangered and highly attractive pitcher plant from Alabama. Features golden-green pitchers that turn a fiery copper in full sun.,Bizarre Tropicals,Home & Garden > Plants > Indoor & Outdoor Plants > Potted Houseplants,Sarracenia,"Coll: Rare Species, Level: Intermediate, Region: North America, Status: Verified",TRUE,active,Pot Size,Sarracenia alabamensis,"Alabama, USA",0-100m,40%+,0°C - 35°C,Peat/Perlite,BT-SA-001,Moderate,Full Sun,Seedling (5cm Pot),SARRACENIA-ALABAMENSIS-S,48.0,shopify,10,deny,manual,TRUE,TRUE,500,g,https://commons.wikimedia.org/wiki/Special:FilePath/Sarracenia_alabamensis_pitcher.jpg?width=1024,1.0
